Category,Question,Answer
Participant FAQ pack,Missed/rescheduled visits – what should I do?,"If you miss a visit, contact the study team asap. We will check the protocol window, reschedule within the allowed range if possible, document the reason, and complete any safety checks required. If the window is exceeded, the PI will decide on next steps and any needed deviation report."
Participant FAQ pack,What are visit windows and why do they matter?,"Visit windows are allowable date ranges around each scheduled visit. Staying within window keeps data valid and protects safety. If you cannot attend within the window, tell the coordinator quickly so we can evaluate options or document a deviation."
Participant FAQ pack,How often are visits and how do I manage conflicts?,"The Schedule of Activities lists frequency and timing. We provide a calendar and reminders. If conflicts arise, contact us early to move within the protocol window."
Participant FAQ pack,Do I get reimbursed for travel, parking or meals?,"Many studies reimburse reasonable costs (e.g., parking, local travel, basic meals). We will explain what is covered and how to submit receipts. Payment timing and method vary by sponsor and site policy."
Participant FAQ pack,What does placebo/randomization mean for me?,"Randomization is a fair method to assign treatment (study drug, comparator, or placebo). In blinded studies, you and the team may not know the assignment. This reduces bias and improves study quality."
Participant FAQ pack,Who do I contact about side effects (adverse events)?,"Contact the study team for any new or worsening symptoms. For emergencies call local emergency services first. We will document the event, inform the PI, and report per protocol timelines."
Participant FAQ pack,How is my privacy protected?,"Your information is handled under privacy laws and reviewed by an Institutional Review Board (IRB). Only authorized personnel access your data. Contact the IRB listed on your consent if you have concerns."
Participant FAQ pack,Am I eligible and can I stop at any time?,"Eligibility is confirmed by protocol criteria. Participation is voluntary; you may withdraw at any time without penalty. We can discuss alternatives, how results may be shared, and contacts for questions or complaints."
Participant FAQ pack,How do I raise a complaint or concern?,"Contact the study coordinator or PI first. You may also contact the IRB listed on your consent form to discuss your rights as a participant or to submit a complaint."
Participant FAQ pack,What are the steps for Missed/rescheduled visits — windows, documentation, safety checks?,"Contact the team asap; check protocol window; reschedule within the allowed range if possible; document reason; complete required safety checks; if window exceeded, PI decides on next steps and whether a deviation is required."
Participant FAQ pack,What are the steps for Duration & schedule — calendars, visit frequency, conflicts in windows?,"Use the Schedule of Activities; provide a subject calendar; if conflicts arise, contact site early to reschedule within the window; document changes and confirm any make-ups permitted by protocol."
Participant FAQ pack,What are the steps for Costs & reimbursements — billing, travel/parking/meals?,"Review site policy and sponsor terms; explain what is covered; collect receipts as required; document reimbursement; process per site timelines and payment method."
Participant FAQ pack,What are the steps for Placebo & randomization — plain-language explanation?,"Explain that assignment is by chance; subject may receive study drug, comparator, or placebo; blinding means assignment may not be known; this ensures fairness and reliable results; address questions and document discussion in source."

IP Management,What are the steps for IP shipment?,"Before shipment: confirm readiness, storage conditions, and temperature monitoring. On receipt: inspect packaging, capture temperatures, reconcile vs. packing list, log receipt (lot/expiry/quantity), quarantine if excursions, notify sponsor of discrepancies, file records per SOP."
IP Management,How do I document IP accountability?,"Maintain the accountability log with lot/kit, subject linkage (if applicable), dispense/return/destroy entries, dates/initials, and second verifier where required. Reconcile regularly and at monitoring close-out."
IP Management,How do I manage expired or damaged IP?,"Quarantine immediately, label 'Do Not Use', document in accountability log, notify sponsor/pharmacy, and arrange return/destruction per SOP with certificate of destruction if applicable."
IP Management,What is required before first dispense?,"Confirm delegation/training, randomization readiness, pre-dose safety checks within window, PI authorization, and correct labeling. Verify storage and temperature logs."
IP Management,How do I handle prohibited medications?,"Check protocol list and IB. Screen for prohibited/contraindicated meds at each visit. If taken, document details, assess impact with PI, notify sponsor if required, and consider washout or deviation per protocol."
IP Management,What is required at study closeout (IP)?,"Reconcile to zero, document returns/destruction, resolve discrepancies, file certificates, close accountability log, and ensure final inventory matches sponsor records."
IP Management,What are the steps for IP Management – prohibited medication documentation?,"Review protocol list/IB each visit; ask subject about all meds; document name/dose/start-stop dates; assess with PI for clinical impact; notify sponsor if required; consider washout; document as deviation if needed."

AE/SAE Reporting,What defines an SAE?,"Any untoward medical occurrence that results in death, is life-threatening, requires/prolongs hospitalization, causes significant disability, congenital anomaly, or other important event per protocol/IB."
AE/SAE Reporting,What is the SAE reporting timeline?,"Notify sponsor within 24 hours (or protocol-defined). Submit follow-up within required windows. Notify IRB per policy for unanticipated problems."
AE/SAE Reporting,How do I assess relatedness/expectedness?,"Use PI medical judgment against IB/label and medical history. Record Related/Not Related and Expected/Unexpected with rationale in the AE/SAE form."
AE/SAE Reporting,Who signs SAE reports?,"The Investigator (PI or sub-I per delegation) reviews and signs clinically. The coordinator may draft but must obtain investigator approval before submission."
AE/SAE Reporting,What are the steps for Adverse event (AE) reporting?,"Identify the event; assess seriousness/relatedness/expectedness with the PI; document in source and eCRF; if SAE, notify sponsor within required timeline; provide follow-up information; notify IRB per site policy for unanticipated problems; track through resolution."

Visit Management,What are the steps for Missed visit?,"Assess whether the visit can occur within the window; document reason; notify sponsor if required; complete safety checks; consider make-up visit if allowed; record as deviation if outside window per protocol."
Visit Management,What are the steps for Site initiation: required logs?,"Prepare delegation log, training records, CV/licenses, protocol/IB receipt, safety distribution list, screening/enrollment logs, accountability forms, eCRF access, and emergency contacts. Align binder index with sponsor."
Visit Management,What is required at study closeout?,"Reconcile IP and data to zero, archive essential documents, resolve open queries, notify IRB of closure if required, finalize training/document indexes, and return or destroy study materials per SOP."
Visit Management,How do I confirm visit eligibility?,"Verify inclusion/exclusion, labs/vitals within window, concomitant meds review, fasting or pregnancy test if applicable, and PI approval documented before procedures."
Visit Management,What pre-dose checks are required?,"Confirm eligibility and dosing authorization, verify pre-dose vitals/labs, check concomitant meds and pregnancy test if applicable, and ensure correct IP and label before administration."
Visit Management,What are the steps for Monitoring visit preparation?,"Ensure system access; finalize training and delegation logs; stage essential documents and logs; verify IP/accountability; confirm eCRF/eSource access; share contacts and facility instructions; track action items for the visit."

Protocol Deviations,What is a major vs minor deviation?,"Major deviations impact safety or primary endpoints; minor deviations have limited impact. Use sponsor/site definitions and document rationale."
Protocol Deviations,How do I report a deviation?,"Create a deviation report with description, date/time, cause, impact assessment, corrective/preventive actions (CAPA), investigator review, and notify sponsor/IRB if thresholds are met."
Protocol Deviations,What are the steps for Protocol deviation?,"Identify and describe the issue; assess impact with the PI (safety/data/eligibility); implement immediate correction; complete deviation form; determine if IRB/ sponsor notification is required; implement CAPA; file in regulatory/source."

Informed Consent,What are the steps to obtain informed consent?,"Use current IRB-approved form, review purpose/risks/alternatives, answer questions, confirm voluntariness, obtain signatures/date/time, provide a copy to subject, and file the original per SOP."
Informed Consent,How do I document re-consent?,"Use the new IRB-approved version, explain the change, obtain signatures/date/time, provide a copy, and update the consent log and binder."
Informed Consent,What are the steps for Source documentation fundamentals?,"Record who/what/when/where/why; entries are contemporaneous, legible, attributable; use single-line strikeouts for corrections with date/initials/reason; ensure ALCOA+ principles; cross-reference forms and logs as needed."

Regulatory & IRB,What belongs in the regulatory binder?,"IRB approvals, protocol/IB, safety reports, delegation and training logs, CVs/licenses, correspondence, device/drug documents, deviations, essential documents, and local policy items."
Regulatory & IRB,What are the steps for Regulatory binder maintenance?,"Keep current IRB approvals and correspondence; update delegation/training logs; file safety reports; maintain CVs/licenses; archive superseded documents; align with sponsor binder index; perform periodic QC."

Monitoring Visits,What is needed for SIV/IMV prep?,"Confirm access to systems, finalize training and delegation logs, prepare enrollment/screening logs, verify IP/accountability, ensure eCRF/eSource access, and stage essential documents. Track action items."
Monitoring Visits,How to handle monitor findings?,"Review issues with PI, correct source/CRF errors, document CAPA, update logs, and confirm resolution at next visit."

Data Management & eCRF,What is the query resolution process?,"Review the query against source, correct CRF if needed, respond with concise rationale, have PI sign if clinical, and close within sponsor timelines."
Data Management & eCRF,What are the steps for Concomitant medication documentation?,"Collect generic/brand, dose, route, frequency, start/stop dates; assess prohibited/allowed lists; reconcile at each visit; document changes; notify PI for clinical assessment; update eCRF timely."

Administration,What are the steps for Delegation log management?,"Add/remove staff with roles; obtain training and CV/license; capture dated signatures; ensure PI authorization; keep log current; QC regularly; provide to monitor."
Administration,What are the steps for Safety report distribution?,"Receive safety updates (IB/RSI/CIOMS); log receipt; distribute to PI/sub-Is; obtain acknowledgment/signature where required; update binder; notify IRB if policy requires."
Administration,What are the steps for IRB submission packet assembly?,"Compile protocol/IB, consent(s), recruitment materials, training/certificates, device/drug documents, and site forms; verify versions; complete IRB application; QC; submit and track correspondence."

Training,What are the steps for SOP basics: GCP overview?,"Ensure staff complete GCP training; review ICH-GCP principles and ALCOA+; understand roles/responsibilities; maintain training records; assess competency before task delegation."
Training,What are the steps for Site initiation: required logs?,"Prepare delegation/training logs, screening/enrollment logs, safety distribution lists, accountability templates, eCRF access, and emergency contacts; align with sponsor templates."
